timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
532497263,-0.02250191,-0.06478239,0.2995625,0.0,0.9882769,-0.006286593,-0.033698875,0.14877385,0.0,0.0,-0.52999014,0,0,0,0,0
532546835,-0.027024658,-0.063664824,0.2995625,0.0,0.9882768,-0.008605011,-0.03348307,0.1487074,0.0,0.0,-0.534464,0,0,0,0,0
532596435,-0.029926045,-0.06246402,0.2995625,0.0,0.98828065,-0.010128507,-0.03310549,0.14867039,0.0,0.0,-0.5340701,0,0,0,0,0
532645950,-0.025462432,-0.06212461,0.2995625,0.0,0.9883056,-0.007948208,-0.032605905,0.1487468,0.0,0.0,-0.5330711,0,0,0,0,0
532696188,-0.025985358,-0.061804738,0.29956254,0.0,0.9883081,-0.00823053,-0.032486748,0.14874108,0.0,0.0,-0.52662927,0,0,0,0,0
532745596,-0.024760246,-0.06273169,0.29956254,0.0,0.9882996,-0.007555834,-0.032853637,0.14875312,0.0,0.0,-0.5263088,0,0,0,0,0
532794976,-0.025394795,-0.06266278,0.29956254,0.0,0.9882981,-0.007874549,-0.03286678,0.1487433,0.0,0.0,-0.52598166,0,0,0,0,0
532844731,-0.0276157,-0.058550186,0.2995625,0.0,0.98834616,-0.009279526,-0.030999912,0.14874406,0.0,0.0,-0.53037775,0,0,0,0,0
532894517,-0.017376186,-0.059338123,0.2995625,0.0,0.9883697,-0.004160475,-0.030627336,0.1488957,0.0,0.0,-0.5310076,0,0,0,0,0
532943679,-0.014513344,-0.05563677,0.29956254,0.0,0.98842525,-0.0030221192,-0.028585076,0.14896062,0.0,0.0,-0.53733873,0,0,0,0,0
532997835,-0.002256341,-0.049907126,0.29956254,0.0,0.9884995,0.002608036,-0.024839893,0.14914747,0.0,0.0,-0.5457834,0,0,0,0,0
533047369,-0.0013901016,-0.047687396,0.2995625,0.0,0.9885249,0.002870589,-0.023678184,0.149163,0.0,0.0,-0.5592548,0,0,0,0,0
533097006,0.00057095656,-0.048893105,0.2995625,0.0,0.9885072,0.003929793,-0.024127845,0.14918415,0.0,0.0,-0.5711497,0,0,0,0,0
533146701,0.0020745597,-0.0498361,0.2995625,0.0,0.9884924,0.0047432776,-0.024481758,0.149201,0.0,0.0,-0.5735332,0,0,0,0,0
533196478,-0.00347605,-0.050099622,0.2995625,0.0,0.9884985,0.002019557,-0.02502599,0.14913177,0.0,0.0,-0.57635766,0,0,0,0,0
533246016,-0.0062618447,-0.051274575,0.2995625,0.0,0.988486,0.0007303602,-0.025814392,0.14909272,0.0,0.0,-0.58464557,0,0,0,0,0
533295619,-0.001874704,-0.052750163,0.2995625,0.0,0.9884631,0.0030087454,-0.026216568,0.14914544,0.0,0.0,-0.59042543,0,0,0,0,0
533345131,-0.0074907695,-0.056455273,0.2995625,0.0,0.98841864,0.0005096245,-0.02846636,0.14905684,0.0,0.0,-0.58519596,0,0,0,0,0
533394732,7.773971e-05,-0.06329806,0.2995625,0.0,0.98830837,0.004760354,-0.031283658,0.14914834,0.0,0.0,-0.57732034,0,0,0,0,0
533444636,-0.009731688,-0.059947357,0.29956254,0.0,0.98836964,-0.0003371795,-0.030359058,0.14900889,0.0,0.0,-0.58515805,0,0,0,0,0
