timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
548297817,548297251,0.027910374,0.06669181,-0.022090344,0.5306852,0.0,0.0,0.0,-1.0
548345925,548345352,0.033154782,0.06720212,-0.01756134,0.5283267,0.0,0.0,0.0,-1.0
548395526,548394957,0.01588516,0.056613304,-0.017991733,0.526619,0.0,0.0,0.0,-1.0
548448136,548447569,0.008632938,-0.007926508,-0.011884452,0.5299181,0.0,0.0,0.0,-1.0
548497760,548497175,0.01894577,0.010564296,-0.0142758805,0.5447216,0.0,0.0,0.0,-1.0
548545845,548545274,0.027503703,0.021199074,-0.011975791,0.54586524,0.0,0.0,0.0,-1.0
548595455,548594879,0.058417756,0.020408386,-0.012400079,0.54772973,0.0,0.0,0.0,-1.0
548648064,548647490,0.035817128,-0.011253176,-0.010199719,0.54667324,0.0,0.0,0.0,-1.0
548696159,548695591,0.009110924,-0.008659137,-0.008039991,0.5495971,0.0,0.0,0.0,-1.0
548745773,548745196,-0.017914703,0.0046251686,-0.011948311,0.5529848,0.0,0.0,0.0,-1.0
548798387,548797813,0.05441879,0.08382687,-0.008461736,0.5514011,0.0,0.0,0.0,-1.0
548846485,548845912,0.06855092,0.10679292,-0.0133047905,0.54618996,0.0,0.0,0.0,-1.0
548896095,548895513,0.003448424,0.036777783,-0.010457043,0.5435923,0.0,0.0,0.0,-1.0
548948691,548948124,0.0217212,0.104351126,-0.007868359,0.54330516,0.0,0.0,0.0,-1.0
548998328,548997740,0.108708605,0.118448,-0.0110177295,0.5474787,0.0,0.0,0.0,-1.0
549046410,549045830,0.074641936,0.053019166,-0.012419483,0.5431352,0.0,0.0,0.0,-1.0
549097511,549096938,0.018886348,0.060958695,-0.005522158,0.53746027,0.0,0.0,0.0,-1.0
549148617,549148045,0.023937788,0.039066505,-0.0023760174,0.5318549,0.0,0.0,0.0,-1.0
549196714,549196147,-0.0092443125,0.030427288,-0.002014956,0.53475744,0.0,0.0,0.0,-1.0
549246323,549245752,-0.029868048,0.060737073,-0.00050180865,0.53581053,0.0,0.0,0.0,-1.0
549298934,549298363,0.07705002,0.0990467,-0.0019635628,0.5293525,0.0,0.0,0.0,-1.0
549347031,549346464,0.084862135,0.073853135,0.00039855303,0.52819353,0.0,0.0,0.0,-1.0
549396635,549396069,0.054009274,0.0957361,0.0023206535,0.5305346,0.0,0.0,0.0,-1.0
549446262,549445673,0.078503095,0.119947605,0.0048209736,0.5247716,0.0,0.0,0.0,-1.0
549498861,549498286,2.866992e-05,0.077524126,0.009855435,0.52238613,0.0,0.0,0.0,-1.0
549548482,549547896,0.041994754,0.07849168,0.004243857,0.5255752,0.0,0.0,0.0,-1.0
549598066,549597494,0.1050539,0.052907724,0.010216431,0.5233459,0.0,0.0,0.0,-1.0
549649168,549648601,-0.0009941941,-0.021811498,0.018376071,0.5169185,0.0,0.0,0.0,-1.0
549697280,549696712,0.027011286,0.07538527,0.015404779,0.5117586,0.0,0.0,0.0,-1.0
549746875,549746308,0.065909155,0.16004956,0.012139288,0.49762103,0.0,0.0,0.0,-1.0
549794979,549794409,0.029617287,0.024789724,0.015686423,0.50291604,0.0,0.0,0.0,-1.0
549847599,549847020,-0.038356528,-0.0013988736,0.022694768,0.5108682,0.0,0.0,0.0,-1.0
549897199,549896631,0.08433751,0.20051429,0.012109181,0.49105662,0.0,0.0,0.0,-1.0
