timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
545047664,9.963,9.856635,9.858,11.165794,-1.0,514.39264,0.0,1.1571429,nan,3,3.285545,3.285545,3.285545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
545248949,10.1762,9.861866,10.6764,10.948031,-1.0,514.9796,0.0,1.1571429,nan,3,3.2872887,3.2872887,3.2872887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
545447661,10.0696,9.869985,10.887199,10.967588,-1.0,515.588,0.0,1.1571429,nan,3,3.289995,3.289995,3.289995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
545647973,10.3976,9.8948,11.1972,11.079653,-1.0,516.21857,0.0,1.1571429,nan,3,3.2982666,3.2982666,3.2982666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
545848899,9.930201,9.91571,11.0608,11.045404,-1.0,516.8313,0.0,1.1571429,nan,3,3.3052368,3.3052368,3.3052368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
546048768,9.6924,9.913387,10.502799,10.876489,-1.0,517.41614,0.0,1.1571429,nan,3,3.3044624,3.3044624,3.3044624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
546247742,9.7662,9.916719,10.887199,10.9051695,-1.0,518.02234,0.0,1.1571429,nan,3,3.3055732,3.3055732,3.3055732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
546448531,9.9958,9.92294,10.750799,10.878614,-1.0,518.626,0.0,1.1571429,nan,3,3.3076468,3.3076468,3.3076468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
546648427,10.1105995,9.914166,11.1352,10.94822,-1.0,519.2423,0.0,1.1571429,nan,3,3.304722,3.304722,3.304722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
546838058,10.2582,9.926011,11.594,11.119397,-1.0,519.84845,0.0,1.1571429,nan,3,3.3086703,3.3086703,3.3086703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
547047661,9.9056,9.91602,11.321199,11.217086,-1.0,520.5134,0.0,1.1571429,nan,3,3.30534,3.30534,3.30534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
547248334,9.3234,9.917949,10.7632,11.262822,-1.0,521.14545,0.0,1.1571429,nan,3,3.3059828,3.3059828,3.3059828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
547449802,10.0122,9.921496,10.9244,11.248351,-1.0,521.7752,0.0,1.1571429,nan,3,3.3071654,3.3071654,3.3071654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
547637661,9.5612,9.949519,10.6516,11.114443,-1.0,522.3396,0.0,1.1571429,nan,3,3.3165064,3.3165064,3.3165064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
547848205,10.323799,9.949104,11.2095995,10.974724,-1.0,522.96576,0.0,1.1571429,nan,3,3.316368,3.316368,3.316368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
